Date;Price
11.04.2026;10,02
;6,29
;6,43
;7,64
;12,27
;14,75
;15,38
;14,97
;12,78
;8,99
;9,91
;11,32
;5,12
;5,12
;6,25
;5,17
;5,31
;8,50
;15,66
;19,37
;19,77
;15,34
;12,98
;8,88
12.04.2026;7,25
;6,29
;6,12
;6,38
;5,98
;6,35
;8,13
;6,31
;6,08
;7,07
;6,64
;6,81
;5,49
;4,94
;6,43
;4,83
;5,22
;7,78
;14,03
;16,34
;16,75
;16,42
;14,62
;11,69
13.04.2026;8,76
;6,85
;7,51
;8,66
;9,98
;12,08
;16,86
;21,11
;22,95
;17,19
;13,90
;10,87
;13,91
;13,28
;11,66
;10,64
;8,90
;13,15
;16,67
;18,04
;19,44
;16,91
;16,04
;12,27
